,1,142,143,16,164,165,17,2,242,243,26,264,265,27,3,342,343,36,364,365,37,4,4/2,4/3,442,443,46,46/5,46/6,464,464/4,465,47,47/3,47/4,5,5/2,5/3,5/5,5/6,5/7,542,542/3,542/4,542/5,542/6,543,543/3,543/4,543/5,56,56/2,56/3,56/4,56/5,56/6,564,564/2,564/3,564/4,564/6,565,565/2,565/3,565/4,565/5,565/6,57,57/2,57/3,57/4,57/5,57/6,57/7,6,642,643,66,664,665,67,7,7/2,7/3,7/5,7/6,76,76/4,77,77/2,77/5,C1,C16,C2,C3,C5,C57,C6,C67,D2,D26,D3,D4,D47,D5,D56,D6,D77,L26,L264,L265,L27,L3,L4,L5,L542,L56,L57,L6,L67,L7,L764,L765,L77,M142,M143,M164,M17,M4,M5,M56,M57,M67,M76,M77,Y2,Y3,Y37,Y4,Y5,Y6,b1,b16,b165,b17,b2,b26,b27,b3,b36,b37,b4,b46,b464,b465,b47,b5,b56,b564,b565,b57,b6,b66,b67,b7,b76,b77
1,0.0,0.007462686567164176,0.0,0.02345415778251598,0.02238805970149253,0.0,0.009594882729211083,0.06396588486140722,0.003198294243070361,0.0,0.0010660980810234537,0.0,0.0021321961620469074,0.015991471215351806,0.04051172707889124,0.0,0.0,0.0021321961620469074,0.012793176972281444,0.0,0.007462686567164176,0.19402985074626858,0.0,0.0,0.0,0.0,0.004264392324093815,0.0,0.0,0.01705756929637526,0.0,0.0,0.013859275053304898,0.0,0.0,0.26865671641791034,0.0021321961620469074,0.0021321961620469074,0.012793176972281444,0.015991471215351806,0.0,0.0010660980810234537,0.0,0.0021321961620469074,0.0,0.0,0.0,0.0,0.0,0.0,0.05117270788912578,0.0,0.0,0.0,0.0,0.0,0.007462686567164176,0.0,0.0,0.0,0.0010660980810234537,0.0,0.0,0.0,0.0,0.0,0.0,0.009594882729211083,0.0,0.0,0.004264392324093815,0.0021321961620469074,0.005330490405117269,0.0,0.10660980810234538,0.0,0.0,0.0021321961620469074,0.0,0.0021321961620469074,0.009594882729211083,0.003198294243070361,0.0021321961620469074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010660980810234537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003198294243070361,0.0,0.0,0.0,0.0010660980810234537,0.0,0.0,0.0021321961620469074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006396588486140722,0.0,0.0,0.003198294243070361,0.0,0.0,0.0,0.0,0.0021321961620469074,0.0,0.0,0.0,0.0,0.004264392324093815,0.0,0.0,0.02238805970149253,0.0,0.0
142,0.09795918367346937,0.0,0.0061224489795918356,0.0061224489795918356,0.0030612244897959178,0.0,0.013265306122448976,0.0,0.0,0.0030612244897959178,0.0,0.0,0.0,0.018367346938775505,0.0,0.0,0.0,0.0,0.0061224489795918356,0.0061224489795918356,0.0,0.05510204081632652,0.0,0.0,0.0,0.0,0.013265306122448976,0.0,0.0,0.0,0.0,0.0,0.0061224489795918356,0.0,0.0,0.020408163265306117,0.0,0.0,0.0,0.0,0.0,0.0,0.0061224489795918356,0.0520408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.001020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061224489795918356,0.0,0.0,0.0,0.0,0.0,0.0,0.0061224489795918356,0.0,0.0,0.0,0.0,0.0,0.39081632653061216,0.0,0.0,0.020408163265306117,0.0,0.013265306122448976,0.21326530612244893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.10485651214128032,0.0,0.0,0.015452538631346574,0.0,0.043046357615894024,0.1169977924944812,0.0,0.0,0.0,0.0,0.043046357615894024,0.022075055187637964,0.027593818984547453,0.030905077262693148,0.0,0.0,0.0033112582781456945,0.0,0.0,0.0,0.09271523178807944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027593818984547453,0.0,0.0,0.23841059602648998,0.0,0.0,0.022075055187637964,0.0,0.0,0.0,0.008830022075055184,0.0,0.015452538631346574,0.0,0.0,0.0,0.0,0.0,0.0,0.015452538631346574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015452538631346574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030905077262693148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015452538631346574,0.015452538631346574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015452538631346574,0.015452538631346574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008830022075055184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030905077262693148,0.0,0.0,0.0,0.0,0.0,0.0
16,0.11727078891257992,0.0,0.0,0.0,0.03091684434968016,0.0,0.0021321961620469074,0.07249466950959486,0.0,0.0,0.02345415778251598,0.0,0.015991471215351806,0.06823027718550104,0.01172707889125799,0.0,0.0,0.0,0.0,0.0,0.005330490405117269,0.35714285714285704,0.0,0.0,0.0,0.0,0.004264392324093815,0.0,0.0,0.004264392324093815,0.0,0.0,0.04051172707889124,0.0,0.0,0.06929637526652449,0.0,0.0,0.010660980810234538,0.0010660980810234537,0.0,0.0021321961620469074,0.0,0.0,0.0,0.0,0.005330490405117269,0.0,0.0,0.0,0.007462686567164176,0.0,0.0,0.0,0.0,0.0,0.03091684434968016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021321961620469074,0.0021321961620469074,0.0,0.0021321961620469074,0.006396588486140722,0.0021321961620469074,0.0021321961620469074,0.03198294243070361,0.0,0.0,0.005330490405117269,0.0021321961620469074,0.0,0.010660980810234538,0.0021321961620469074,0.0,0.004264392324093815,0.0,0.0,0.004264392324093815,0.0,0.0,0.0,0.0010660980810234537,0.0,0.003198294243070361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004264392324093815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004264392324093815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005330490405117269,0.0,0.0,0.0,0.0,0.0,0.004264392324093815,0.0,0.0,0.006396588486140722,0.0,0.0,0.0,0.0010660980810234537,0.0,0.0,0.0,0.0,0.0,0.003198294243070361,0.0,0.0,0.006396588486140722,0.0,0.0
164,0.18201997780244167,0.005549389567147611,0.0,0.04550499445061042,0.0,0.003329633740288567,0.003329633740288567,0.009988901220865699,0.0,0.0,0.005549389567147611,0.004439511653718089,0.007769145394006656,0.019977802441731397,0.015538290788013312,0.0,0.0,0.004439511653718089,0.0022197558268590447,0.0022197558268590447,0.009988901220865699,0.16759156492785784,0.0,0.0,0.0,0.0,0.017758046614872357,0.0,0.0,0.011098779134295222,0.0,0.0,0.03773584905660376,0.0,0.0,0.14206437291897886,0.003329633740288567,0.0,0.006659267480577134,0.0,0.0,0.006659267480577134,0.0,0.003329633740288567,0.0,0.0,0.0,0.0,0.0,0.0,0.015538290788013312,0.0,0.0,0.0,0.009988901220865699,0.006659267480577134,0.006659267480577134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003329633740288567,0.004439511653718089,0.04661487236403994,0.011098779134295222,0.0,0.0,0.0,0.0,0.0,0.08102108768035512,0.005549389567147611,0.0,0.004439511653718089,0.004439511653718089,0.0,0.021087680355160923,0.0,0.0,0.0,0.004439511653718089,0.004439511653718089,0.0,0.0,0.0,0.0,0.005549389567147611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012208657047724744,0.0,0.003329633740288567,0.0,0.0,0.007769145394006656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003329633740288567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003329633740288567,0.012208657047724744,0.0,0.0,0.0,0.0,0.0
165,0.03789473684210525,0.0,0.011578947368421048,0.03578947368421052,0.011578947368421048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01578947368421052,0.03999999999999999,0.045263157894736825,0.0,0.0,0.0,0.011578947368421048,0.0021052631578947364,0.0,0.2452631578947368,0.0,0.0,0.0,0.0,0.011578947368421048,0.0,0.0,0.0,0.0,0.0,0.12631578947368416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022105263157894732,0.0,0.0,0.0,0.0,0.006315789473684209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999995,0.0,0.0,0.0,0.0,0.0,0.1389473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009473684210526313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021052631578947364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022105263157894732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009473684210526313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013684210526315785,0.0,0.0
17,0.0983606557377049,0.0,0.024590163934426226,0.0,0.011709601873536297,0.003512880562060889,0.0,0.024590163934426226,0.008196721311475409,0.0,0.0,0.0,0.0,0.07962529274004683,0.010538641686182666,0.0,0.0,0.0,0.0,0.0,0.03747072599531615,0.06908665105386415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042154566744730664,0.0,0.0,0.17564402810304444,0.005854800936768149,0.011709601873536297,0.032786885245901634,0.005854800936768149,0.0,0.008196721311475409,0.005854800936768149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005854800936768149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014051522248243556,0.015222482435597186,0.040983606557377046,0.0,0.011709601873536297,0.0,0.04800936768149882,0.009367681498829038,0.0,0.017564402810304445,0.0,0.012880562060889927,0.06557377049180327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010538641686182666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003512880562060889,0.0,0.0,0.0,0.003512880562060889,0.0,0.0,0.0,0.003512880562060889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023419203747072594,0.0,0.0,0.0,0.008196721311475409,0.0,0.0,0.0,0.0,0.003512880562060889,0.0,0.007025761124121778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004683840749414519,0.005854800936768149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011709601873536297,0.0,0.0,0.005854800936768149,0.0,0.0,0.007025761124121778
2,0.13636363636363633,0.0,0.0,0.03171247357293868,0.005285412262156447,0.0,0.004228329809725158,0.0,0.008456659619450316,0.0,0.008456659619450316,0.011627906976744182,0.002114164904862579,0.013742071881606761,0.09302325581395346,0.002114164904862579,0.0,0.0010570824524312895,0.0,0.0,0.007399577167019026,0.16384778012684986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008456659619450316,0.0,0.0,0.005285412262156447,0.0,0.0,0.16701902748414374,0.0031712473572938684,0.0,0.0,0.03276955602536997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007399577167019026,0.0010570824524312895,0.0,0.0,0.0,0.0010570824524312895,0.007399577167019026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01691331923890063,0.002114164904862579,0.0,0.0,0.0,0.008456659619450316,0.0,0.1902748414376321,0.0,0.0,0.010570824524312895,0.007399577167019026,0.0010570824524312895,0.006342494714587737,0.0010570824524312895,0.0,0.0010570824524312895,0.0,0.002114164904862579,0.0,0.0,0.002114164904862579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031712473572938684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002114164904862579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010570824524312895,0.0,0.0,0.0010570824524312895,0.0,0.0,0.005285412262156447,0.0,0.0,0.0,0.0,0.002114164904862579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010570824524312895,0.0,0.0010570824524312895
242,0.24242424242424232,0.0,0.0,0.014629049111807726,0.0167189132706374,0.0,0.04493207941483801,0.1274817136886102,0.0,0.0,0.006269592476489025,0.031347962382445124,0.011494252873563213,0.043887147335423184,0.011494252873563213,0.0,0.0,0.0,0.005224660397074188,0.0,0.0,0.018808777429467075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005224660397074188,0.0,0.0,0.0167189132706374,0.0,0.0,0.022988505747126426,0.0,0.0,0.0,0.0,0.0,0.005224660397074188,0.0,0.0,0.0,0.0,0.018808777429467075,0.0,0.0,0.0,0.03761755485893415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563213,0.027168234064785777,0.0,0.0,0.0,0.0,0.0,0.028213166144200615,0.0,0.0,0.0,0.0,0.002089864158829675,0.0,0.03761755485893415,0.0,0.0,0.0,0.0,0.011494252873563213,0.0,0.02089864158829675,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137928,0.0,0.0,0.007314524555903863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031347962382445127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250783699059561,0.0,0.0,0.0,0.005224660397074188,0.0,0.0,0.0,0.0,0.005224660397074188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00417972831765935,0.0,0.04911180773249737,0.0,0.0
243,0.03923766816143497,0.0,0.0,0.0,0.03699551569506725,0.0,0.0,0.015695067264573988,0.0,0.0,0.030269058295964116,0.0,0.0,0.4573991031390133,0.00896860986547085,0.0,0.0,0.015695067264573988,0.0,0.0,0.015695067264573988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02690582959641255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030269058295964116,0.0179372197309417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015695067264573988,0.0,0.0,0.0,0.0,0.015695067264573988,0.07286995515695066,0.0,0.0,0.0,0.0,0.015695067264573988,0.0,0.07623318385650223,0.0,0.0,0.0,0.0,0.0,0.024663677130044834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015695067264573988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015695067264573988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015695067264573988,0.0,0.0,0.0,0.0,0.0
